lat,long,postcode,name,address
-37.805692,145.13334,3129,BOX HILL EARLY LEARNING CHILD CARE CENTRE & KINDERGARTEN,"Dorking Road, Kerrimuir, Box Hill North"
-37.92074,145.087358,3167,BRIGHT BEGINNINGS CHILD CARE CENTRE,"117-119, Golf Road, Oakleigh South"
-37.929516,144.993598,3187,BRIGHTON BEACH CHILD CARE CENTRE,"New Street, Hampton"
-37.907584,145.076973,3166,BRINE STREET CHILD CARE CENTRE,"Brine Street, Hughesdale"
-37.772248,144.966181,3056,BRUNSWICK CRECHE & DAY NURSERY,"82, Glenlyon Road, Brunswick"
-38.245712,142.919332,3264,BUCKLE MY SHOE,"McKinnon Street, Terang"
-37.759171,145.093991,3105,BULLEEN TEMPLESTOWE BASKETBALL CLUB INC CRECHE,"Almerta Place, Bulleen"
-38.050072,145.12289,3196,BUNNYKINS CHILD CARE CENTRE,"Blantyre Avenue, Chelsea"
-37.876136,145.108365,3148,BURTON STREET (CENTRE 2),"Burton Street, Jordanville, Chadstone"
-37.779329,145.325538,3140,BUSY KIDS CHILD CARE CENTRE,"Croydondale Drive, Rolling Hills, Mooroolbark, Lilydale"
-37.759031,144.788902,3021,CAIRNLEA KINDY AND CHILD CARE CENTRE,"Wattle Grove Road, Cairnlea"
-37.833,145.06373,3124,CAMBERWELL KINDERGARTEN AND CHILD CARE CENTRE,"25, Trafalgar Road, Camberwell"
-37.996689,145.207775,3175,CANBERRA AVENUE CHILD CARE CENTRE,"Canberra Avenue, Dandenong"
-38.123227,145.148738,3198,CANDLEBARK CHILD CARE CENTRE,"Candlebark Crescent, Frankston North, Frankston"
-37.821084,145.070087,3124,CANTERBURY CHILD CARE CENTRE,"Gwenda Avenue, Canterbury"
-38.086383,145.289371,3977,CARLISLE CHILD CARE CLUB,"15, Silky Oak Drive, Cranbourne"
-38.076314,145.13085,3197,CARRUM CHILD CARE CENTRE,"Seaford Wetlands Path, Carrum"
-38.1134,145.297057,3977,CASEY RECREATION AND AQUATIC CENTRE CRECHE,"Cranbourne East, Cranbourne"
-37.06289,144.215617,3450,CASTLEMAINE CHILD CARE CENTRE,"Templeton Street, Castlemaine"
-37.866419,145.050204,3146,CENTRAL PARK CHILD CARE CENTRE,"120, Burke Road, Malvern East"
-38.369167,145.207623,3919,CERBERUS CHILD CARE CENTRE,"Cook Road, HMAS Cerberus, Stony Point"
-37.880888,145.028868,3161,CHABAD GLEN EIRA CRECHE,"Glen Eira Road, Caulfield"
-37.852331,145.029634,3144,CHABAD HOUSE OF MALVERN/TOORAK,"355, Glenferrie Road, Malvern"
-37.87663,145.221414,3152,CHARLIE BROWN CHILD CARE CENTRE,"1305, High Street Road, Wantirna South"
-37.878406,145.00881,3185,CHAYAS CRECHE,"Somerset Street, Elsternwick"
-38.05376,145.121372,3196,CHELSEA CENTRAL CHILD CARE CENTRE,"Woodbine Grove, Chelsea"
-38.030073,145.360758,3805,CHILDRENS DOMAIN CHILD CARE & EARLY LEARNING CENTRE," Howell Drive, Berwick, Harkaway"
-37.832137,145.223818,3135,CHOKLITS CHILD CARE CENTRE,"Canterbury Road, Ringwood"
-38.023785,145.306467,3805,CITY OF CASEY CHILD CARE COMPLEX,"Webb Street, Fountain Gate, Narre Warren, Harkaway"
-38.104598,145.27611,3977,CLARENDON STREET COMMUNITY CHILD CARE CENTRE,"Dunbar Avenue, Cranbourne"
-37.933502,145.13122,3169,CLAYTON SOUTH CHILD CARE CENTRE,"Milton Avenue, Clayton South"
-37.782272,144.990478,3068,CLIFTON CHILD CARE CO-OP,"Rushall Crescent, Fitzroy North"
-37.301959,143.782868,3370,CLUNES NEIGHBOURHOOD HOUSE CRECHE,"Ballarat - Maryborough Road, Clunes"
-37.74028,144.945745,3044,COBURG & PASCOE VALE SOUTH CHILD CARE CENTRE,"211, Melville Road, Pascoe Vale South"
-37.697923,144.565868,3337,COBURNS ROAD CHILD CARE CENTRE,"Coburns Road, Melton South"
-37.913862,145.184818,3150,COLUMBIA PARK CHILD CARE CENTRE,"6, Columbia Drive, Wheelers Hill"
-37.751137,145.365873,3140,COMO PARK CHILD CARE & KINDERGARTEN,"Nelson Road, Lilydale"
-37.811439,145.000263,3121,COOKE COURT CHILD CARE CENTRE,"23, Church Street, Richmond"
-38.131572,145.125284,3198,CORE HEALTH CHILD CARE,"Nepean Highway, Frankston"
-38.078373,144.354718,3214,CORIO BAY SENIOR COLLEGE CHILD CARE CENTRE INC,"Illinois Avenue, Corio, Geelong"
-37.598864,144.934478,3064,CRAIGIEBURN LEISURE CENTRE CRECHE,"Craigieburn Road, Craigieburn"
-38.155709,145.173607,3198,CRICKLEWOOD CHILD CARE CENTRE,"Cranbourne Road, Langwarrin, Frankston"
-37.876077,145.150062,3150,CROXLEY HALL NURSERY & PRESCHOOL,"37-39, Hunter Street, Syndal, Glen Waverley"
-37.756677,145.124776,3106,CUDDLY BEAR CHILD CARE,"Swilk Street, Templestowe"
-37.832632,145.23459,3135,CUDDLY BEAR CHILD CARE HEATHMONT,"Canterbury Road, Heathmont"
-37.967971,145.212342,3175,DANDENONG DAY NURSERY,"Brunet Street, Dandenong North, Dandenong"
-37.912908,145.326859,3160,DANDENONG RANGES CHILD CARE CENTRE,"Riley Road, Upwey, Belgrave"
-37.70534,144.970685,3060,DARUL ULUM COLLEGE CHILD CARE,"Baird Street, Fawkner"
-37.771207,144.957094,3056,DAWSON STREET CHILD CARE CENTRE,"Dawson Street, Brunswick"
-37.34237,144.138009,3370,DAYLESFORD COMMUNITY CHILD CARE,"Western Avenue, Daylesford"
-37.34237,144.138009,3370,DAYLESFORD COMMUNITY CHILD CARE CENTRE,"Western Avenue, Daylesford"
-38.200536,144.30157,3214,DEAKIN CHILD CARE,"Deakin Avenue, Waurn Ponds, Geelong"
-37.760722,145.167267,3109,DEEP CREEK CHILD CARE CENTRE,"Blackburn Road, Deep Creek, Doncaster East"
-37.674691,145.161669,3089,DIAMOND CREEK CHILD CARE CENTRE,"10, Main Hurstbridge Road, Diamond Creek"
-37.781857,145.132242,3107,DONCASTER EARLY LEARNING CHILD CARE,"Turana Street, Doncaster Hill, Doncaster"
-37.681269,145.015682,3074,DOROTHY AVENUE CHILD CARE CENTRE,"Dorothy Avenue, Thomastown"
-37.990818,145.241155,3177,DOVETON UNITING CHURCH CHILD CARE AND KINDERGARTEN,"10-12, Ti Tree Drive, Doveton"
-38.328561,144.974951,3936,DROMANA CHILD CARE,"Nepean Highway, Safety Beach, Arthurs Seat"
-37.801464,145.322406,3765,DURHAM ROAD DAY CHILD CARE CENTRE,"Hansen Road, Kilsyth, Montrose"
-37.679231,144.568704,3337,EARLY LEARNING CHILD CARE CENTRE,"Coburns Road, Melton West"
-37.6820723,144.5848333,3337,EARLY LEARNING KINDERS AND CHILD CARE,"Wallace Square, Melton"
-37.9287303,145.0579974,3189,EAST BENTLEIGH CHILD CARE CENTRE,"East Boundary Road, Bentleigh East"
-38.10598,147.124957,3852,EAST SALE CHILD CARE CENTRE,"Aerodrome Road, East Sale, The Heart"
