State,Municipality,Name Id,Place Name,Place Name Status,Feature Type Code,Feature Type,Longitude,Latitude,Place Id,Historical Information,Origin Language,Australian Indigenous Language,Anzac Related Name,Date First Recorded Day,Date First Recorded Month,Date First Recorded Year,Source,Author,Title,Date Published Day,Date Published Month,Date Published Year,Publisher,Place of Publication,Pages(s),Editor,Chapter Title,Journal Name,Issue,Year,Newspaper,File Number,Site Owner,Page Title,Site Title,Url,Location,Type of Artefact,Cartographer,Scale,Informant,Tape Title,Tape Number,Municipal Name,Endorsed by Council,Council Minutes,Organisation Name,Endorsed by GPNAP
VIC,CASEY CITY,117641,PEARCEDALE DAY CARE & KINDERGARTEN CENTRE,RECORDED,KIND,KINDERGARTEN,145.232237,-38.201985,117396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,CASEY CITY,117642,PEARCEDALE PRESCHOOL,RECORDED,KIND,KINDERGARTEN,145.235174,-38.203731,117397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MOYNE SHIRE,119160,PEAS IN A POD CHILDRENS CENTRE,RECORDED,KIND,KINDERGARTEN,142.804638,-38.080398,118915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MORELAND CITY,117644,PELICAN CHILDCARE COBURG,RECORDED,KIND,KINDERGARTEN,144.973479,-37.735755,117399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,HUME CITY,117645,PELICAN CHILDCARE CRAIGIEBURN,RECORDED,KIND,KINDERGARTEN,144.935283,-37.583874,117400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,BRIMBANK CITY,117646,PELICAN CHILDCARE DEER PARK,RECORDED,KIND,KINDERGARTEN,144.763647,-37.781619,117401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,WHITTLESEA CITY,117647,PELICAN CHILDCARE EPPING,RECORDED,KIND,KINDERGARTEN,145.025916,-37.646393,117402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,HUME CITY,117648,PELICAN CHILDCARE FAIRWAYS,RECORDED,KIND,KINDERGARTEN,144.912009,-37.606694,117403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,KINGSTON CITY,117649,PELICAN CHILDCARE HEATHERTON,RECORDED,KIND,KINDERGARTEN,145.080742,-37.947396,117404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,CASEY CITY,117650,PELICAN CHILDCARE LYNBROOK,RECORDED,KIND,KINDERGARTEN,145.257021,-38.059117,117405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MORNINGTON PENINSULA SHIRE,117651,PELICAN CHILDCARE MOUNT MARTHA,RECORDED,KIND,KINDERGARTEN,145.036892,-38.252215,117406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,HUME CITY,117653,PEMBROKE CRESCENT PRESCHOOL CENTRE,RECORDED,KIND,KINDERGARTEN,144.924768,-37.604289,117408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MORNINGTON PENINSULA SHIRE,117654,PENBANK SCHOOL EARLY LEARNING CENTRE,RECORDED,KIND,KINDERGARTEN,145.093788,-38.247775,117409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MELTON CITY,117655,PENGUIN CHILDCARE CAROLINE SPRINGS,RECORDED,KIND,KINDERGARTEN,144.738658,-37.711441,117410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MELBOURNE CITY,117656,PENGUIN CHILDCARE MELBOURNE,RECORDED,KIND,KINDERGARTEN,144.949604,-37.819911,117411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,FRANKSTON CITY,117658,PENINSULA MONTESSORI OCCASIONAL CARE,RECORDED,KIND,KINDERGARTEN,145.147065,-38.135291,117413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MORNINGTON PENINSULA SHIRE,117659,PENINSULA SANDS PRESCHOOL,RECORDED,KIND,KINDERGARTEN,144.92573,-38.385812,117414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MOONEE VALLEY CITY,117660,PENLEIGH & ESSENDON GRAMMAR SCHOOL -RALEIGH ST KINDERGARTEN,RECORDED,KIND,KINDERGARTEN,144.91975,-37.753384,117415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,SOUTHERN GRAMPIANS SHIRE,119162,PENSHURST PRESCHOOL,RECORDED,KIND,KINDERGARTEN,142.293285,-37.876863,118917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MOORABOOL SHIRE,119163,PENTLAND CHILDCARE & KINDERGARTEN CENTRE,RECORDED,KIND,KINDERGARTEN,144.424583,-37.656891,118918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,BASS COAST SHIRE,119165,PHILLIP ISLAND KINDERGARTEN,RECORDED,KIND,KINDERGARTEN,145.239864,-38.45008,118920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,BRIMBANK CITY,117663,PHOENIX STREET CHILDRENS CENTRE,RECORDED,KIND,KINDERGARTEN,144.838553,-37.776018,117418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,FRANKSTON CITY,117664,PICCOLOS ACCELERATED EARLY LEARNING,RECORDED,KIND,KINDERGARTEN,145.120362,-38.174456,117419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MANNINGHAM CITY,117665,PIED PIPER CHILDCARE,RECORDED,KIND,KINDERGARTEN,145.156502,-37.762872,117420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MAROONDAH CITY,117666,PINEMONT PRESCHOOL,RECORDED,KIND,KINDERGARTEN,145.217813,-37.80638,117421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MONASH CITY,117668,PINEWOOD KINDERGARTEN,RECORDED,KIND,KINDERGARTEN,145.140056,-37.888378,117423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MAROONDAH CITY,117669,PINJARRA KINDERGARTEN,RECORDED,KIND,KINDERGARTEN,145.271817,-37.810883,117424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MITCHELL SHIRE,119167,PIPER STREET CHILDRENS CENTRE,RECORDED,KIND,KINDERGARTEN,144.953055,-37.297936,118922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,GREATER GEELONG CITY,21361,PIRRA CHILDRENS HOME,REGISTERED,KIND,KINDERGARTEN,144.4098611,-38.0093056,23617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,KINGSTON CITY,117670,PLATYPUS JUNCTION MENTONE,RECORDED,KIND,KINDERGARTEN,145.066031,-37.98614,117425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,MORNINGTON PENINSULA SHIRE,117671,PLATYPUS JUNCTION MT ELIZA,RECORDED,KIND,KINDERGARTEN,145.083432,-38.199344,117426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
