"State","Municipality","Name Id","Place Name","Place Name Status","Feature Type Code","Feature Type","Longitude","Latitude","Place Id","Historical Information","Origin Language","Australian Indigenous Language","Anzac Related Name","Date First Recorded Day","Date First Recorded Month","Date First Recorded Year","Source","Author","Title","Date Published Day","Date Published Month","Date Published Year","Publisher","Place of Publication","Pages(s)","Editor","Chapter Title","Journal Name","Issue","Year","Newspaper","File Number","Site Owner","Page Title","Site Title","Url","Location","Type of Artefact","Cartographer","Scale","Informant","Tape Title","Tape Number","Municipal Name","Endorsed by Council","Council Minutes","Organisation Name","Endorsed by GPNAP"
"VIC","BOROONDARA CITY","115880","ARGYLE ROAD CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.050964","-37.803484","115635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","STONNINGTON CITY","115881","ARMADALE CRECHE","RECORDED","CHCA","CHILD CARE","145.027787","-37.85661","115636","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MAROONDAH CITY","115886","ARRABRI PLAYGROUP","RECORDED","CHCA","CHILD CARE","145.293718","-37.831319","115641","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","HUME CITY","115896","ATTWOOD CHILD CARE CENTRE AND KINDERGARTEN","RECORDED","CHCA","CHILD CARE","144.883972","-37.661115","115651","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","BOROONDARA CITY","115898","AUBURN KINDERGARTEN & CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.046376","-37.821567","115653","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","BANYULE CITY","115903","AUSTIN CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.059862","-37.757305","115658","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MOORABOOL SHIRE","118359","BACCHUS MARSH CHILD CARE & KINDERGARTEN CENTRE","RECORDED","CHCA","CHILD CARE","144.436135","-37.665145","118114","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MOORABOOL SHIRE","118360","BACCHUS MARSH LEISURE CENTRE CRECHE","RECORDED","CHCA","CHILD CARE","144.432303","-37.684437","118115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","GREATER SHEPPARTON CITY","118371","BALACLAVA ROAD CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.414667","-36.368129","118126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","BALLARAT CITY","118376","BALLARAT CHILD CARE CO-OP","RECORDED","CHCA","CHILD CARE","143.859973","-37.54059","118131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","BALLARAT CITY","118378","BALLARAT CITY OCCASIONAL CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","143.857262","-37.558283","118133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","SOUTHERN GRAMPIANS SHIRE","118384","BALMORAL CHILD CARE","RECORDED","CHCA","CHILD CARE","141.841182","-37.249418","118139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","BANYULE CITY","115922","BANYULE NETBALL STADIUM CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.070553","-37.722285","115677","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","INDIGO SHIRE","118393","BEECHWORTH COMMUNITY CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","146.695479","-36.371652","118148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MELTON CITY","115968","BELLEVUE PLAZA PLAY AND LEARN CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","144.738243","-37.686281","115723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","GREATER BENDIGO CITY","118399","BENDIGO CRECHE & DAY NURSERY","RECORDED","CHCA","CHILD CARE","144.281983","-36.754802","118154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","GREATER BENDIGO CITY","118400","BENDIGO OCCASIONAL CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","144.284252","-36.765726","118155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","GLEN EIRA CITY","115976","BENTLEIGH FAMILY & CHILD CARE CO-OP","RECORDED","CHCA","CHILD CARE","145.039269","-37.922534","115731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MORNINGTON PENINSULA SHIRE","115979","BENTONS SQUARE OCCASIONAL CHILD CARE AND PRESCHOOL","RECORDED","CHCA","CHILD CARE","145.048712","-38.246797","115734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
